Ticker,Date,Open,High,Low,Close,Adj Close,Volume
QQQ,5/1/2018,160.520004,171.199997,159.220001,170.070007,164.323547,687987000
QQQ,6/1/2018,170.919998,177.979996,169.169998,171.649994,165.850189,784338500
QQQ,7/1/2018,170.039993,182.929993,169.669998,176.449997,170.85289,708010500
QQQ,8/1/2018,176.860001,187.520004,175.789993,186.649994,180.729294,667523000
QQQ,9/1/2018,186.080002,186.490005,180.440002,185.789993,179.896591,645534400
QQQ,10/1/2018,186.869995,187.529999,160.089996,169.820007,164.72908,1817070600
QQQ,11/1/2018,170.070007,175.580002,157.130005,169.369995,164.292587,1152121500
QQQ,12/1/2018,173.110001,173.309998,143.460007,154.259995,149.635559,1395544900
QQQ,1/1/2019,150.990005,168.990005,149.490005,168.160004,163.585556,933706500
QQQ,2/1/2019,167.330002,174.660004,166.570007,173.190002,168.478729,535964100
QQQ,3/1/2019,174.440002,182.830002,169.339996,179.660004,174.772751,781972700
QQQ,4/1/2019,181.509995,191.320007,180.770004,189.539993,184.719498,550157700
QQQ,5/1/2019,190.779999,191.320007,173.869995,173.949997,169.526016,901554000
QQQ,6/1/2019,173.479996,189.770004,169.270004,186.740005,181.990723,688730400
QQQ,7/1/2019,190.320007,195.550003,188.380005,191.100006,186.651611,494025500
QQQ,8/1/2019,191.429993,194.979996,179.199997,187.470001,183.106125,814286500
QQQ,9/1/2019,186.220001,194.710007,185.029999,188.809998,184.414917,550650200
QQQ,10/1/2019,189.5,197.830002,181.820007,197.080002,192.8806,576983400
QQQ,11/1/2019,197.929993,206.050003,197.630005,205.100006,200.729691,351429700
QQQ,12/1/2019,205.110001,214.559998,199.229996,212.610001,208.079666,429951100
QQQ,1/1/2020,214.399994,225.880005,212.240005,219.070007,214.866852,585493000
QQQ,2/1/2020,220.139999,237.470001,198.169998,205.800003,201.85144,952392300
QQQ,3/1/2020,208.880005,219.610001,164.929993,190.399994,186.746902,2191775700
QQQ,4/1/2020,184.770004,220.039993,180.860001,218.910004,215.16748,1092071200
QQQ,5/1/2020,214.5,233.600006,211.119995,233.360001,229.370468,846592000
QQQ,6/1/2020,232.460007,251.149994,231.470001,247.600006,243.366989,928360400
QQQ,7/1/2020,247.639999,269.790009,247.080002,265.790009,261.700317,924935100
QQQ,8/1/2020,268,296.75,264.630005,294.880005,290.342712,701414600
QQQ,9/1/2020,297.619995,303.5,260.109985,277.839996,273.564911,1325374300
QQQ,10/1/2020,281.790009,297.459991,267.070007,269.380005,265.235046,936826500
QQQ,11/1/2020,271.850006,300.170013,266.970001,299.619995,295.009766,751645800
QQQ,12/1/2020,301.970001,314.690002,298.089996,313.73999,308.912476,569870600
QQQ,1/1/2021,315.109985,330.320007,305.179993,314.559998,310.28125,655263000
QQQ,2/1/2021,318.109985,338.190002,310.880005,314.140015,309.867004,795468600
QQQ,3/1/2021,319.269989,324.329987,297.450012,319.130005,314.789124,1621173600
QQQ,4/1/2021,323.070007,342.799988,322.809998,337.98999,333.81366,771139800
QQQ,5/1/2021,339.230011,340,316,333.929993,329.803833,965410800
QQQ,6/1/2021,335.299988,355.230011,328.279999,354.429993,350.050537,751288500
QQQ,7/1/2021,354.070007,368.890015,352.040009,364.570007,360.482941,813285700
QQQ,8/1/2021,366.279999,380.76001,359.959991,379.950012,375.690521,683466500
QQQ,9/1/2021,381.040009,382.779999,357.100006,357.959991,353.947052,931849900
QQQ,10/1/2021,358.600006,386.279999,350.320007,386.109985,382.204712,878747900
QQQ,11/1/2021,386.559998,408.709991,384.420013,393.820007,389.836731,922244500
QQQ,12/1/2021,398.279999,404.579987,377.470001,397.850006,393.825958,1232817200
QQQ,1/1/2022,399.049988,402.279999,334.149994,363.049988,359.836945,1847203000
QQQ,2/1/2022,364.429993,370.100006,318.26001,346.799988,343.730774,1522923600
QQQ,3/1/2022,345.75,371.829987,317.450012,362.540009,359.331451,1686792800
QQQ,4/1/2022,362.809998,369.309998,312.600006,313.25,310.861542,1501959100
QQQ,5/1/2022,312.829987,330.290009,280.209991,308.279999,305.929413,1951162500
QQQ,6/1/2022,310.470001,314.559998,269.279999,280.279999,278.142944,1359608000
QQQ,7/1/2022,278.950012,316.390015,276.75,315.459991,313.656464,1178025500
QQQ,8/1/2022,313.649994,334.420013,298.440002,299.269989,297.559021,1069920100
QQQ,9/1/2022,296.720001,311.079987,267.100006,267.26001,265.732025,1370988700
QQQ,10/1/2022,269.070007,284.600006,254.259995,277.950012,276.857574,1356809000
QQQ,11/1/2022,281.5,293.470001,259.079987,293.359985,292.20697,1195762800
QQQ,12/1/2022,293.690002,296.880005,259.730011,266.279999,265.233429,1057037700
QQQ,1/1/2023,268.649994,298.26001,260.339996,294.619995,294.164581,961927300
QQQ,2/1/2023,294.410004,313.679993,290.049988,293.559998,293.106232,1094424800
QQQ,3/1/2023,293.26001,321.170013,285.190002,320.929993,320.433929,1544686300
QQQ,4/1/2023,318.769989,321.630005,309.890015,320.350006,320.350006,933048300
XLE,5/1/2018,73.440002,79.419998,72.43,76.019997,59.183186,368692400
XLE,6/1/2018,76.279999,77.650002,73.139999,75.940002,59.120918,307137000
XLE,7/1/2018,75.410004,78,73.980003,77.120003,60.445122,249231000
XLE,8/1/2018,76.449997,76.5,71.699997,74.440002,58.344589,256055200
XLE,9/1/2018,74.779999,77.010002,71.779999,75.739998,59.363495,231780300
XLE,10/1/2018,76.019997,78.360001,64.370003,67.160004,53.00061,434624500
XLE,11/1/2018,67.300003,70.370003,63.439999,66.110001,52.171993,403394800
XLE,12/1/2018,67.620003,67.989998,53.360001,57.349998,45.258862,477197000
XLE,1/1/2019,56.439999,64.080002,56.150002,63.779999,50.804035,333689000
XLE,2/1/2019,64.470001,66.93,61.869999,65.25,51.974968,209874900
XLE,3/1/2019,65.599998,67.419998,63.310001,66.120003,52.667973,306595100
XLE,4/1/2019,66.559998,68.809998,65.610001,66.110001,53.073021,252909800
XLE,5/1/2019,66.129997,66.330002,58.77,58.77,47.180473,333142100
XLE,6/1/2019,59.169998,63.93,59.080002,63.709999,51.146301,291847000
XLE,7/1/2019,64.5,64.709999,61.740002,62.700001,50.794926,225597100
XLE,8/1/2019,62.009998,62.299999,55.549999,57.48,46.566067,382618500
XLE,9/1/2019,56.549999,63.650002,56.380001,59.200001,47.959484,350628200
XLE,10/1/2019,59.400002,60.060001,55.639999,57.959999,47.384369,317614100
XLE,11/1/2019,58.25,61.830002,58.09,58.889999,48.144676,264399100
XLE,12/1/2019,59.09,62.439999,57.799999,60.040001,49.084839,283019400
XLE,1/1/2020,60.439999,61.310001,53.16,53.439999,45.434658,349279400
XLE,2/1/2020,53.369999,55.400002,43.52,45.27,38.488537,485131500
XLE,3/1/2020,46.279999,47.990002,22.879999,29.059999,24.706797,985547400
XLE,4/1/2020,28.120001,39.080002,27.23,38,33.030525,926736400
XLE,5/1/2020,37.220001,40.360001,34.299999,38.759998,33.691132,580936200
XLE,6/1/2020,38.700001,46.880001,36.32,37.849998,32.900139,675198700
XLE,7/1/2020,38,38.549999,34.240002,36.029999,31.719759,526808900
XLE,8/1/2020,36.02,39.529999,35.360001,35.650002,31.385218,417823100
